"3460,Talismania Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",4.99,20000,50000,2,1,1";;;
"3462,Talismania Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3480,Peggle Deluxe,2007-03-06,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,500000,1000000,207,1,5";;;
"3482,Peggle Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,6,1,1";;;
"3483,Peggle Extreme,2007-09-11,game,true,""PopCap Games, Inc."",Electronic Arts,0.0,200000,500000,21,2,1";;;
"3490,Venice Deluxe,2007-06-25,game,false,""Retro64, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3500,Mystery P.I.™ - The Lottery Ticket,2007-10-16,game,false,SpinTop Games,""PopCap Games, Inc."",4.99,20000,50000,5,1,1";;;
"3502,Mystery P.I.™ - The Lottery Ticket Free Demo,,demo,true,SpinTop Games,""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
3510,Amazing Adventures The Lost Tomb™,2007-12-13,game,false,SpinTop Games,Disney,4.99,20000,50000,2,1,1;;;
"3512,Amazing Adventures The Lost Tomb™ Demo,,demo,true,SpinTop Games,""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3520,Mystery P.I.™ - The Vegas Heist,2008-06-05,game,false,SpinTop Games,""PopCap Games, Inc."",4.99,20000,50000,1,1,1";;;
"3522,Mystery P.I.™ - The Vegas Heist Free Demo,2008-06-05,demo,true,SpinTop Games,""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3530,Amazing Adventures Around the World,2009-04-15,game,false,SpinTop Games,""PopCap Games, Inc."",4.99,20000,50000,2,1,1";;;
"3532,Amazing Adventures Around the World Demo,2009-04-15,demo,true,SpinTop Games,""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3540,Peggle™ Nights,2008-10-15,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,200000,500000,86,1,1";;;
"3560,Bejeweled Twist,2008-11-18,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,50000,100000,7,2,1";;;
"3562,Bejeweled Twist Free Demo,2008-11-18,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3570,Mystery P.I.™ - The New York Fortune,2009-01-28,game,false,SpinTop Games,""PopCap Games, Inc."",4.99,20000,50000,2,1,1";;;
"3572,Mystery P.I.™ - The New York Fortune Demo,2009-01-28,demo,true,SpinTop Games,""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3580,The Wizard's Pen™,2009-02-18,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",4.99,20000,50000,0,1,1";;;
"3582,The Wizard's Pen™ Free Demo,2009-02-18,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3590,Plants vs. Zombies GOTY Edition,2009-05-05,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,2000000,5000000,3469,1,1";;;
"3592,Plants vs. Zombies Demo,2009-05-05,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,5,1,1";;;
"3600,Escape Rosecliff Island,2009-04-15,game,false,SpinTop Games,""PopCap Games, Inc."",4.99,50000,100000,7,1,1";;;
"3602,Escape Rosecliff Island Demo,2009-04-15,demo,true,SpinTop Games,""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
3610,Mystery P.I. - Lost in Los Angeles,2009-07-27,game,false,SpinTop Games,GoBit Games,4.99,20000,50000,3,1,1;;;
"3612,Mystery P.I. - Lost in Los Angeles Demo,2009-07-27,demo,true,SpinTop Games,""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
"3620,Zuma's Revenge!,2009-09-15,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,200000,500000,231,2,1";;;
"3622,Zuma's Revenge! Demo,2009-09-15,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,2,2,1";;;
3700,Sniper Elite,2009-07-16,game,false,Rebellion,Rebellion,7.99,500000,1000000,22,1,5;;;
3710,Judge Dredd: Dredd vs. Death,2009-03-26,game,false,Rebellion,Rebellion,7.99,100000,200000,1,1,1;;;
3720,Evil Genius,2009-06-22,game,false,Elixir Studios,Rebellion,9.99,200000,500000,12,1,4;;;
