app_id,review_score,total,total_bucket,total_bucket_range
1629380,0,2,1,0 - 10
1629460,0,0,1,0 - 10
1629470,6,44,2,10 - 50
1629480,0,2,1,0 - 10
1629520,8,11060,8,"10,000 - 50,000"
1629530,9,1700,6,"1,000 - 5,000"
1629540,0,0,1,0 - 10
1629550,6,10,2,10 - 50
1629570,0,3,1,0 - 10
1629600,8,59,3,50 - 100
1629620,0,2,1,0 - 10
1629630,0,0,1,0 - 10
1629650,0,7,1,0 - 10
1629660,0,0,1,0 - 10
1629680,0,1,1,0 - 10
1629690,0,0,1,0 - 10
1629710,8,84,3,50 - 100
1629740,0,0,1,0 - 10
1629770,0,6,1,0 - 10
1629780,0,0,1,0 - 10
1629790,0,0,1,0 - 10
1629830,8,168,4,100 - 500
1629850,0,0,1,0 - 10
1629900,0,0,1,0 - 10
1629910,8,149,4,100 - 500
1629920,0,0,1,0 - 10
1629940,8,81,3,50 - 100
1630000,0,7,1,0 - 10
1630010,0,0,1,0 - 10
1630080,8,3945,6,"1,000 - 5,000"
1630110,5,676,5,"500 - 1,000"
1630130,4,11,2,10 - 50
1630160,0,0,1,0 - 10
1630180,5,29,2,10 - 50
1630270,0,0,1,0 - 10
1630290,8,724,5,"500 - 1,000"
1630310,0,0,1,0 - 10
1630330,0,8,1,0 - 10
1630360,6,55,3,50 - 100
1630370,0,3,1,0 - 10
1630420,8,57,3,50 - 100
1630430,0,0,1,0 - 10
1630440,0,7,1,0 - 10
1630450,0,0,1,0 - 10
1630460,0,0,1,0 - 10
1630490,7,49,2,10 - 50
1630500,7,19,2,10 - 50
1630520,0,6,1,0 - 10
1630530,0,1,1,0 - 10
1630570,8,232,4,100 - 500
1630590,8,289,4,100 - 500
1630630,8,105,4,100 - 500
1630640,0,1,1,0 - 10
1630650,8,163,4,100 - 500
1630690,7,14,2,10 - 50
1630740,0,6,1,0 - 10
1630760,0,5,1,0 - 10
1630780,7,19,2,10 - 50
1630800,7,11,2,10 - 50
1630810,0,0,1,0 - 10
1630820,0,0,1,0 - 10
1630850,7,10,2,10 - 50
