app_id,owners_range,price_cents,price_usd
11390,"100,000 - 200,000",499,4.99
11450,"500,000 - 1,000,000",499,4.99
11470,"0 - 20,000",0,0.0
11480,"100,000 - 200,000",499,4.99
11550,"0 - 20,000",999,9.99
11560,"20,000 - 50,000",499,4.99
11590,"20,000 - 50,000",499,4.99
11910,"0 - 20,000",0,0.0
11920,"0 - 20,000",0,0.0
12130,"200,000 - 500,000",999,9.99
12140,"1,000,000 - 2,000,000",999,9.99
12150,"500,000 - 1,000,000",999,9.99
12180,"500,000 - 1,000,000",0,0.0
12200,"2,000,000 - 5,000,000",1499,14.99
12210,"5,000,000 - 10,000,000",1999,19.99
12220,"2,000,000 - 5,000,000",0,0.0
12310,"20,000 - 50,000",999,9.99
12320,"200,000 - 500,000",999,9.99
12330,"100,000 - 200,000",179,1.79
12340,"20,000 - 50,000",999,9.99
12360,"500,000 - 1,000,000",399,3.99
12390,"50,000 - 100,000",1499,14.99
12420,"0 - 20,000",599,5.99
12430,"0 - 20,000",499,4.99
12440,"20,000 - 50,000",499,4.99
12450,"0 - 20,000",999,9.99
12460,"20,000 - 50,000",79,0.79
12470,"100,000 - 200,000",119,1.19
12480,"20,000 - 50,000",199,1.99
12500,"50,000 - 100,000",999,9.99
12510,"20,000 - 50,000",999,9.99
12520,"50,000 - 100,000",999,9.99
12530,"20,000 - 50,000",999,9.99
12540,"20,000 - 50,000",999,9.99
12560,"0 - 20,000",999,9.99
12570,"0 - 20,000",999,9.99
12580,"0 - 20,000",999,9.99
12590,"20,000 - 50,000",999,9.99
12600,"0 - 20,000",999,9.99
12640,"100,000 - 200,000",999,9.99
12670,"0 - 20,000",999,9.99
12690,"50,000 - 100,000",999,9.99
12710,"500,000 - 1,000,000",999,9.99
12770,"200,000 - 500,000",999,9.99
12790,"100,000 - 200,000",999,9.99
12810,"1,000,000 - 2,000,000",999,9.99
12820,"0 - 20,000",0,0.0
12830,"500,000 - 1,000,000",999,9.99
12890,"0 - 20,000",0,0.0
12900,"1,000,000 - 2,000,000",999,9.99
12910,"0 - 20,000",0,0.0
13000,"0 - 20,000",499,4.99
13010,"0 - 20,000",0,0.0
13140,"1,000,000 - 2,000,000",0,0.0
13500,"200,000 - 500,000",999,9.99
13520,"2,000,000 - 5,000,000",299,2.99
13530,"200,000 - 500,000",199,1.99
13540,"200,000 - 500,000",999,9.99
13560,"500,000 - 1,000,000",999,9.99
13570,"200,000 - 500,000",999,9.99
13580,"200,000 - 500,000",249,2.49
13600,"500,000 - 1,000,000",199,1.99
13620,"20,000 - 50,000",499,4.99
13630,"20,000 - 50,000",499,4.99
15000,"200,000 - 500,000",999,9.99
15080,"100,000 - 200,000",999,9.99
15100,"1,000,000 - 2,000,000",1999,19.99
15120,"500,000 - 1,000,000",999,9.99
15130,"200,000 - 500,000",0,0.0
15160,"0 - 20,000",999,9.99
15170,"500,000 - 1,000,000",999,9.99
15190,"200,000 - 500,000",999,9.99
15200,"100,000 - 200,000",999,9.99
15210,"200,000 - 500,000",999,9.99
15240,"50,000 - 100,000",999,9.99
15270,"50,000 - 100,000",999,9.99
15300,"200,000 - 500,000",999,9.99
15320,"200,000 - 500,000",999,9.99
15370,"200,000 - 500,000",999,9.99
15380,"50,000 - 100,000",999,9.99
15390,"200,000 - 500,000",399,3.99
15400,"50,000 - 100,000",799,7.99
15500,"100,000 - 200,000",999,9.99
15510,"0 - 20,000",0,0.0
15520,"100,000 - 200,000",999,9.99
15560,"20,000 - 50,000",999,9.99
15620,"2,000,000 - 5,000,000",4999,49.99
15680,"0 - 20,000",0,0.0
15700,"5,000,000 - 10,000,000",299,2.99
15710,"200,000 - 500,000",299,2.99
