app_id,review_score,review_score_description,positive,negative,total,recommendations,steamspy_positive,steamspy_negative
1479980,7,Positive,11,0,11,,11,0
1479990,7,Positive,24,3,27,,24,3
1480010,7,Positive,18,0,18,,18,0
1480030,6,Mostly Positive,66,27,93,,66,27
1480040,7,Positive,17,1,18,,17,1
1480050,7,Positive,21,2,23,,21,2
1480060,0,No user reviews,0,0,0,,0,0
1480090,0,No user reviews,0,0,0,,0,0
1480110,0,No user reviews,0,0,0,,0,0
1480120,8,Very Positive,537,42,579,518,537,42
1480130,0,No user reviews,0,0,0,,0,0
1480140,8,Very Positive,107,10,117,,107,10
1480150,0,No user reviews,0,0,0,,0,0
1480180,0,No user reviews,0,0,0,,0,0
1480190,0,1 user reviews,1,0,1,,1,0
1480210,0,1 user reviews,1,0,1,,1,0
1480220,0,No user reviews,0,0,0,,0,0
1480240,0,5 user reviews,4,1,5,,4,1
1480260,0,1 user reviews,0,1,1,,0,1
1480270,0,1 user reviews,1,0,1,,0,0
1480280,0,6 user reviews,6,0,6,,0,0
1480370,5,Mixed,147,163,310,283,147,163
1480400,7,Positive,8,2,10,,8,2
1480410,6,Mostly Positive,15,4,19,,15,4
1480440,6,Mostly Positive,35,11,46,,35,11
1480470,0,8 user reviews,8,0,8,,8,0
1480480,6,Mostly Positive,183,77,260,241,183,77
1480520,6,Mostly Positive,25,9,34,,25,9
1480540,7,Positive,40,6,46,,40,6
1480560,6,Mostly Positive,1769,707,2476,1788,1769,707
1480570,0,7 user reviews,5,2,7,,5,2
1480600,0,8 user reviews,6,2,8,,6,2
1480630,7,Positive,13,0,13,,13,0
1480650,5,Mixed,12,12,24,,12,12
1480680,0,No user reviews,0,0,0,,0,0
1480690,0,6 user reviews,5,1,6,,5,1
1480730,0,No user reviews,0,0,0,,0,0
1480740,6,Mostly Positive,11,3,14,,11,3
1480790,0,No user reviews,0,0,0,,0,0
1480810,5,Mixed,109,101,210,177,109,101
1480830,8,Very Positive,357,47,404,380,355,47
1480860,0,2 user reviews,2,0,2,,2,0
1480870,5,Mixed,43,59,102,,43,59
1480910,7,Positive,17,0,17,,17,0
1480930,6,Mostly Positive,78,23,101,,78,23
1480940,0,No user reviews,0,0,0,,0,0
1480960,8,Very Positive,110,26,136,,109,26
1480970,0,4 user reviews,4,0,4,,4,0
1480990,0,No user reviews,0,0,0,,0,0
1481000,7,Positive,23,1,24,,23,1
1481020,7,Positive,15,0,15,,15,0
1481060,6,Mostly Positive,27,10,37,,27,10
1481070,0,3 user reviews,2,1,3,,2,1
1481080,9,Overwhelmingly Positive,2880,116,2996,2773,2877,116
1481120,7,Positive,19,0,19,,19,0
1481140,7,Positive,25,1,26,,25,1
1481150,0,8 user reviews,5,3,8,,5,3
1481160,0,5 user reviews,5,0,5,,5,0
1481170,0,No user reviews,0,0,0,,0,0
1481210,7,Positive,45,4,49,,45,4
1481270,0,No user reviews,0,0,0,,0,0
1481280,0,No user reviews,0,0,0,,0,0
1481310,0,7 user reviews,6,1,7,,6,1
1481330,0,No user reviews,0,0,0,,0,0
1481340,6,Mostly Positive,109,45,154,,0,0
1481360,0,6 user reviews,4,2,6,,4,2
1481370,0,No user reviews,0,0,0,,0,0
1481400,9,Overwhelmingly Positive,10578,524,11102,101,0,0
1481440,8,Very Positive,221,48,269,227,220,48
1481460,0,No user reviews,0,0,0,,0,0
1481480,0,1 user reviews,0,1,1,,0,1
1481500,0,No user reviews,0,0,0,,0,0
1481550,5,Mixed,9,9,18,,9,9
1481580,5,Mixed,12,10,22,,12,10
1481600,0,9 user reviews,8,1,9,,8,1
1481620,0,3 user reviews,0,3,3,,0,0
1481630,7,Positive,14,0,14,,14,0
1481660,0,4 user reviews,4,0,4,,4,0
1481680,6,Mostly Positive,24,8,32,,24,8
1481700,6,Mostly Positive,12,4,16,,12,4
1481710,0,6 user reviews,5,1,6,,5,1
1481720,7,Positive,23,1,24,,23,1
1481730,0,2 user reviews,2,0,2,,2,0
1481740,0,No user reviews,0,0,0,,0,0
1481760,0,No user reviews,0,0,0,,0,0
1481780,8,Very Positive,393,28,421,271,393,28
1481810,7,Positive,40,7,47,,40,7
1481820,0,No user reviews,0,0,0,,0,0
1481830,0,No user reviews,0,0,0,,0,0
1481840,7,Positive,10,1,11,,10,1
1481860,0,No user reviews,0,0,0,,0,0
1481870,0,4 user reviews,4,0,4,,4,0
1481880,0,1 user reviews,1,0,1,,1,0
1481900,0,No user reviews,0,0,0,,0,0
1481910,8,Very Positive,58,2,60,,58,2
1481930,7,Positive,11,0,11,,11,0
1481940,0,1 user reviews,0,1,1,,0,1
1481960,0,7 user reviews,6,1,7,,6,1
1481970,5,Mixed,183,83,266,,183,83
1481990,0,No user reviews,0,0,0,,0,0
1482000,5,Mixed,6,8,14,,0,0
1482050,7,Positive,16,3,19,,16,3
1482060,4,Mostly Negative,49,82,131,,0,0
1482090,0,2 user reviews,0,2,2,,0,2
1482130,7,Positive,37,0,37,,37,0
1482150,7,Positive,28,2,30,,27,2
