app_id,category_count,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,category_22,category_23
3362,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3380,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3382,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3390,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3392,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3400,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3410,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3412,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3420,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3422,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3430,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3432,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3450,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3452,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3460,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3462,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3480,4,Family Sharing,Remote Play on Phone,Remote Play on Tablet,Single-player,,,,,,,,,,,,,,,,,,,
3482,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3483,3,Remote Play on Phone,Remote Play on Tablet,Single-player,,,,,,,,,,,,,,,,,,,,
3490,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3500,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3502,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3510,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3512,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3520,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3522,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3530,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3532,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3540,4,Family Sharing,Remote Play on Phone,Remote Play on Tablet,Single-player,,,,,,,,,,,,,,,,,,,
3560,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3562,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3570,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3572,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3580,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3582,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3590,5,Family Sharing,Remote Play on Phone,Remote Play on Tablet,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,
3592,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3600,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3602,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3610,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3612,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3620,4,Family Sharing,Single-player,Stats,Steam Achievements,,,,,,,,,,,,,,,,,,,
3622,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3700,3,Family Sharing,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,
3710,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
3720,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3730,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
3800,3,Family Sharing,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,
3810,3,Family Sharing,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,
