app_id,tag_count,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20
2563580,20,3D,3D Platformer,Adventure,Controller,Cute,Exploration,Family Friendly,Hidden Object,Linear,Nature,Parkour,Physics,Platformer,Puzzle,Puzzle Platformer,Quick-Time Events,Singleplayer,Stylized,Third Person,Tutorial
2563690,15,3D,Action,Action-Adventure,Casual,Controller,Indie,PvE,Singleplayer,Strategy,Third Person,Third-Person Shooter,Top-Down,Top-Down Shooter,Tower Defense,War,,,,,
2563740,20,3D,Action,Action RTS,Automation,Base Building,Cartoony,Casual,Co-op,Colorful,Early Access,Fantasy,Isometric,Minimalist,PvE,PvP,Relaxing,Space,Strategy,Tower Defense,VR
2563760,11,3D,BMX,Choose Your Own Adventure,Early Access,Level Editor,Open World,Realistic,Sandbox,Simulation,Singleplayer,Sports,,,,,,,,,
2563770,15,2D,Combat,Comedy,Education,Free to Play,Funny,Indie,JRPG,Old School,Pixel Graphics,Retro,RPG,Singleplayer,Turn-Based Combat,Tutorial,,,,,
2563780,17,2D,Action,Action Roguelike,Bullet Hell,Casual,Combat,Early Access,Indie,Medieval,Pixel Graphics,Procedural Generation,PvE,Retro,Roguelite,RPG,Singleplayer,Survival,,,
2563800,16,2D,4 Player Local,Action,Action Roguelike,Adventure,Co-op,Indie,Local Co-Op,Local Multiplayer,Multiplayer,Pixel Graphics,Retro,Roguelite,Singleplayer,Top-Down,Top-Down Shooter,,,,
2563820,15,1980s,1990's,Action,Co-op,Early Access,First-Person,Gore,Horror,Indie,Multiplayer,Online Co-Op,PvE,Simulation,Singleplayer,Violent,,,,,
2563850,20,2D,2D Fighter,Action,Arcade,Basketball,Boxing,Casual,Football (Soccer),Hockey,Local Multiplayer,Mini Golf,Minimalist,Multiplayer,PvP,Singleplayer,Skateboarding,Split Screen,Sports,Tennis,Volleyball
2563880,19,2.5D,2D,Action,Action-Adventure,Adventure,Anime,Character Customization,Combat,Conversation,Cute,Fantasy,Female Protagonist,Hack and Slash,Indie,Metroidvania,Pixel Graphics,Platformer,Singleplayer,Story Rich,
2563920,20,2.5D,2D,3D,3D Platformer,Action,Adventure,Anime,Beat 'em up,Cartoon,Cartoony,Collectathon,Colorful,Crafting,Cute,Dating Sim,Hand-drawn,LGBTQ+,Old School,Runner,Sci-fi
2563930,20,3D,3D Platformer,Action,Action-Adventure,Adventure,Atmospheric,Cyberpunk,Exploration,Fantasy,Futuristic,Indie,Physics,Quick-Time Events,Racing,Sandbox,Sci-fi,Singleplayer,Space,Space Sim,Third Person
2563960,20,3D,Action,Action Roguelike,Action RPG,Action-Adventure,Adventure,Atmospheric,Combat,Dark,Dark Fantasy,Dungeon Crawler,Early Access,Fantasy,First-Person,Indie,Medieval,Open World,Roguelite,RPG,Singleplayer
2563980,8,Adventure,JRPG,Mature,Nudity,RPG,Sexual Content,Singleplayer,Strategy,,,,,,,,,,,,
2564020,20,3D Fighter,Action,Anime,Arcade,Card Battler,Card Game,Character Customization,Colorful,Combat,Controller,Deckbuilding,Fighting,Futuristic,Grid-Based Movement,Local Multiplayer,Multiplayer,PvP,Sci-fi,Singleplayer,Strategy
2564040,20,3D,3D Vision,Atmospheric,Casual,Cinematic,Cute,Drama,Hentai,Interactive Fiction,Mature,Medieval,Noir,NSFW,Nudity,Psychedelic,Retro,RPG,Sexual Content,Stylized,Visual Novel
2564050,20,3D,3D Vision,Atmospheric,Casual,Cinematic,Colorful,Cute,Drama,FMV,Hentai,Mature,NSFW,Nudity,Psychedelic,Realistic,Relaxing,RPG,Sexual Content,Stylized,Top-Down
2564070,20,3D,3D Fighter,Action-Adventure,Alternate History,Anime,Combat,Exploration,Hentai,Magic,Mature,Medieval,NSFW,Nudity,RPG,Sci-fi,Sexual Content,Simulation,Spectacle fighter,Surreal,Turn-Based Combat
2564080,20,3D,3D Vision,Atmospheric,Casual,Cinematic,Colorful,Dating Sim,Drama,FMV,Hentai,Immersive Sim,Life Sim,Mature,NSFW,Nudity,Psychedelic,Relaxing,RPG,Sexual Content,Top-Down
2564090,20,Casual,Cinematic,Colorful,Comedy,Detective,Fantasy,Funny,Hentai,Martial Arts,Mature,Modern,NSFW,Nudity,Psychedelic,Relaxing,Retro,RPG,Sexual Content,Simulation,Surreal
2564100,20,Cinematic,Dark,Detective,Exploration,Hentai,Lovecraftian,Mature,Mystery,Mythology,NSFW,Nudity,Puzzle,RPG,Sexual Content,Simulation,Singleplayer,Story Rich,Stylized,Surreal,Survival
2564120,20,3D,Action,Action Roguelike,Action RPG,Action-Adventure,Adventure,Casual,Cinematic,Combat,Comedy,Controller,Fantasy,Hack and Slash,Linear,Magic,PvE,RPG,Singleplayer,Story Rich,Third Person
2564140,20,3D,3D Platformer,Anime,Atmospheric,Cartoon,Cartoony,Casual,Character Customization,CRPG,Cute,Female Protagonist,Futuristic,Immersive Sim,Indie,JRPG,Relaxing,Simulation,Singleplayer,Tabletop,Utilities
2564200,20,2D,Adventure,Capitalism,Cooking,Cozy,Crafting,Dating Sim,Dungeon Crawler,Farming,Immersive,Inventory Management,Life Sim,Mystery Dungeon,Pixel Graphics,RPG,Sandbox,Shop Keeper,Simulation,Trading,Wholesome
2564240,20,2D,2D Platformer,Action,Action-Adventure,Adventure,Atmospheric,Cute,Dark,Emotional,Exploration,Fantasy,Indie,Linear,Nature,Pixel Graphics,Platformer,Puzzle,Puzzle Platformer,PvE,Singleplayer
2564260,14,2D,Adventure,Anime,Comedy,Comic Book,Cute,Detective,Drama,Funny,Investigation,Mystery,Relaxing,Singleplayer,Visual Novel,,,,,,
2564320,15,3D,Auto Battler,Automation,Combat,Economy,Management,Military,PvE,Realistic,Simulation,Singleplayer,Strategy,Tactical,Time Management,Turn-Based Tactics,,,,,
2564330,14,Comedy,Dating Sim,Drama,Hentai,Mature,NSFW,Nudity,Realistic,Romance,Sexual Content,Simulation,Singleplayer,Story Rich,Visual Novel,,,,,,
2564340,20,Action,Action-Adventure,Adventure,Beat 'em up,Colorful,Controller,Cyberpunk,Exploration,Female Protagonist,Hack and Slash,Mechs,Sci-fi,Shooter,Singleplayer,Souls-like,Space,Story Rich,Stylized,Third Person,Third-Person Shooter
2564370,20,2D,Action,Aliens,Arena Shooter,Artificial Intelligence,Bullet Hell,Casual,Colorful,eSports,Jet,Looter Shooter,MOBA,Pixel Graphics,Racing,Roguelike,Shoot 'Em Up,Shooter,Space Sim,Top-Down,Top-Down Shooter
2564410,15,2D,2D Platformer,Action,Action-Adventure,Adventure,Atmospheric,Combat,Futuristic,Gore,Horror,Indie,Pixel Graphics,Platformer,Singleplayer,Violent,,,,,
2564440,15,3D,Base Building,Building,Casual,Early Access,Idler,Indie,Isometric,PvE,Relaxing,Sandbox,Simulation,Singleplayer,Strategy,Third Person,,,,,
2564450,20,3D,Automation,Base Building,Casual,Character Customization,City Builder,Creature Collector,Cute,Driving,Exploration,Level Editor,Life Sim,MMORPG,Open World,RPG,Sandbox,Sci-fi,Space,Story Rich,Third Person
2564460,20,6DOF,Asymmetric VR,Atmospheric,Bullet Time,Casual,Character Customization,Choose Your Own Adventure,Colorful,Comedy,Early Access,Exploration,First-Person,Horror,Immersive Sim,Level Editor,Life Sim,Relaxing,Sandbox,Simulation,VR
2564520,20,Action,Action Roguelike,Adventure,Atmospheric,Colorful,Combat,Controller,Dark,Dark Fantasy,Dungeon Crawler,Fantasy,Female Protagonist,Hack and Slash,Indie,Isometric,Roguelite,Singleplayer,Stylized,Top-Down,Traditional Roguelike
