"app_id","genre"
"33670","RPG"
"33670","Strategy"
"33680","Indie"
"33730","Simulation"
"33750","Simulation"
"33760","Casual"
"33770","RPG"
"33790","Casual"
"33900","Action"
"33900","Simulation"
"33900","Strategy"
"33930","Action"
"33930","Simulation"
"33930","Strategy"
"33950","Casual"
"33950","Indie"
"33970","Action"
"33970","Simulation"
"33970","Strategy"
"33980","Action"
"33990","Adventure"
"34010","Action"
"34010","RPG"
"34030","Strategy"
"34050","Strategy"
"34110","Simulation"
"34110","Sports"
"34190","Racing"
"34200","Action"
"34220","Simulation"
"34220","Sports"
"34270","Action"
"34270","Adventure"
"34270","Casual"
"34270","RPG"
"34272","Action"
"34273","Action"
"34274","Action"
"34275","Strategy"
"34276","Action"
"34277","Action"
"34279","Action"
"34280","Action"
"34281","Action"
"34282","Action"
"34284","Action"
"34285","Casual"
"34285","Strategy"
"34286","Casual"
"34286","Strategy"
"34287","Adventure"
"34288","Action"
"34289","RPG"
"34310","Action"
"34313","Action"
"34314","Action"
"34314","Simulation"
"34315","Action"
"34316","Action"
"34317","Casual"
"34319","Adventure"
"34330","Strategy"
"34410","Action"
"34420","Strategy"
"34500","Indie"
"34500","Simulation"
"34500","Strategy"
"34600","Strategy"
"34620","Strategy"
"34630","Strategy"
"34640","Strategy"
"34660","Strategy"
"34800","Adventure"
"34810","Action"
"34810","Simulation"
"34820","Simulation"
"34830","Action"
"34870","Action"
"34880","Action"
"34900","Indie"
"34910","Indie"
"34920","Action"
"34920","Casual"
"34920","Indie"
"34930","Action"
"34930","Casual"
"34930","Indie"
"35000","Action"
"35000","Adventure"
"35030","Simulation"
"35030","Sports"
"35050","Action"
"35050","Adventure"
"35070","Casual"
"35110","Action"
"35110","Adventure"
"35130","Action"
"35130","Adventure"
"35140","Action"
"35140","Adventure"
"35150","Action"
"35150","Adventure"
"35300","Strategy"
"35310","Action"
"35310","Racing"
"35320","Racing"
"35450","Action"
"35450","Massively Multiplayer"
"35450","Simulation"
"35460","Action"
"35460","Adventure"
"35460","Indie"
"35460","Strategy"
"35480","Casual"
"35480","Indie"
"35480","Strategy"
"35490","Action"
"35600","Adventure"
"35600","Casual"
"35600","Strategy"
"35700","Action"
"35700","Adventure"
"35700","Indie"
"35710","Action"
"35710","Indie"
"35720","Action"
"35720","Adventure"
"35720","Indie"
"35800","Casual"
"35800","Indie"
"36000","Action"
"36000","Indie"
"36130","Casual"
"36150","Casual"
"36900","Action"
"36900","Casual"
"36900","Indie"
"36900","Simulation"
"36910","Action"
"36910","Casual"
"36910","Indie"
"36910","Simulation"
"36920","Action"
"36930","Action"
"37000","Action"
"37000","Adventure"
"37210","Simulation"
"37220","Simulation"
"37230","Simulation"
"37240","Simulation"
"37260","Adventure"
"37270","Adventure"
"37270","RPG"
"37280","Simulation"
"37290","Casual"
"37300","Simulation"
"37310","Casual"
"37320","Casual"
"37330","Casual"
"37340","Casual"
"37360","Casual"
"37370","Casual"
"37380","Casual"
"37390","Casual"
"37400","Adventure"
"37400","Indie"
"37410","Adventure"
"37410","Indie"
"37500","Casual"
"37500","Indie"
"37510","Casual"
"37510","Indie"
"37600","Adventure"
"37600","Casual"
"37600","Indie"
"37800","Casual"
"37800","Indie"
"37810","Casual"
"37810","Indie"
"37960","Casual"
"38000","Casual"
"38070","Casual"
"38070","Simulation"
"38080","Simulation"
"38090","Simulation"
"38100","Simulation"
"38110","Simulation"
"38120","Casual"
"38130","Casual"
"38140","Casual"
"38150","Casual"
"38160","Casual"
"38170","Casual"
"38180","Casual"
"38190","Casual"
"38210","Casual"
"38230","Casual"
"38230","Simulation"
"38230","Strategy"
"38400","RPG"
"38410","RPG"
"38420","Strategy"
"38430","Action"
"38450","Action"
"38460","Action"
"38480","Action"
"38490","Action"
"38490","Adventure"
"38600","Casual"
"38600","Indie"
"38600","RPG"
"38700","Casual"
"38700","Indie"
"38710","Casual"
"38710","Indie"
"38720","Casual"
"38720","Indie"
"38720","Strategy"
"38730","Casual"
"38730","Indie"
"38730","Strategy"
"38740","Action"
"38740","Indie"
"38910","Casual"
"38910","Indie"
"39000","Adventure"
"39000","Simulation"
"39000","Strategy"
"39100","RPG"
"39110","Casual"
"39120","Action"
"39120","Adventure"
"39120","Free To Play"
"39120","Massively Multiplayer"
"39120","RPG"
"39140","Rol"
"39150","RPG"
"39190","RPG"
"39200","RPG"
"39210","Massively Multiplayer"
"39210","RPG"
"39391","Casual"
"39500","Action"
"39500","RPG"
"39510","Action"
"39510","RPG"
"39520","Simulation"
"39520","Strategy"
"39530","Action"
"39540","Action"
"39540","RPG"
"39550","RPG"
"39550","Strategy"
"39560","Action"
"39590","Action"
"39630","Action"
"39640","Action"
"39650","Simulation"
"39650","Strategy"
"39660","Simulation"
"39660","Strategy"
"39670","Action"
"39680","Simulation"
"39680","Strategy"
